location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
City Center,House,739,3,4,0,poor,5,65,10865
Outskirts,Penthouse,5189,6,4,34,good,0,90,23683
City Center,Villa,1413,2,1,21,good,9,45,9336
Outskirts,Studio,2660,1,1,6,poor,1,70,8165
City Center,Apartment,2807,1,3,22,poor,4,96,14125
City Center,House,2789,3,3,14,excellent,5,98,15730
Commercial Area,Studio,2256,3,1,27,poor,6,68,13014
Near Park,Apartment,1666,1,1,33,average,6,60,8097
Suburbs,Villa,954,6,4,13,average,0,12,13909
Near Park,Studio,4212,3,1,33,good,1,31,15613
Commercial Area,House,5767,5,2,0,poor,8,27,20097
Outskirts,Villa,3971,3,1,4,good,4,57,14832
Near Park,House,666,3,3,11,average,2,63,9787
Suburbs,Studio,4570,6,4,10,poor,9,17,20128
Suburbs,House,970,6,1,15,average,7,79,10998
Outskirts,Villa,1290,2,4,12,good,8,58,12101
Suburbs,Villa,3996,5,2,13,poor,5,4,21350
Commercial Area,Studio,3928,1,2,15,poor,8,37,11724
Near Park,Studio,5449,1,1,3,poor,4,50,14989
Suburbs,Penthouse,5543,1,2,28,excellent,7,72,13277
Near Park,Villa,676,4,3,5,excellent,2,71,10385
City Center,Penthouse,3248,2,4,20,excellent,7,69,18413
Near Park,House,887,4,1,28,average,6,45,9851
Outskirts,Studio,3877,1,3,2,excellent,1,86,18752
Commercial Area,Apartment,5658,1,3,34,good,3,47,18956
Suburbs,House,4673,6,4,39,average,4,25,20625
Commercial Area,Penthouse,3744,2,3,9,excellent,5,98,13971
Near Park,Villa,5953,3,1,11,average,0,59,19394
Suburbs,Studio,4460,5,2,31,good,4,63,19137
Commercial Area,Studio,3521,1,4,33,average,9,16,13765
Outskirts,House,2355,6,4,36,excellent,0,13,14576
City Center,House,4896,5,4,37,average,1,97,25942
City Center,Studio,956,3,3,25,average,3,66,8909
Outskirts,Penthouse,5083,3,3,14,poor,6,2,17092
City Center,Villa,4112,2,2,21,excellent,2,8,12047
Outskirts,Studio,3654,3,1,4,average,6,13,14096
Near Park,Studio,1386,5,1,3,good,6,4,12081
Outskirts,House,4245,2,3,28,excellent,2,54,13496
City Center,Villa,3157,4,3,10,excellent,4,96,19754
Near Park,Studio,1027,1,3,2,poor,6,1,7008
Outskirts,House,3520,4,2,18,average,1,80,18212
Outskirts,Apartment,1604,3,1,1,good,4,3,7316
Near Park,Studio,2692,2,4,10,excellent,7,35,14202
Suburbs,Apartment,1727,4,1,12,poor,2,15,9131
City Center,Villa,1238,4,2,7,good,6,62,11414
Suburbs,Villa,1281,2,1,33,poor,4,20,5842
Near Park,Studio,3915,6,4,39,average,9,74,23903
Near Park,Penthouse,2061,2,4,33,average,4,58,11781
Commercial Area,House,3710,2,1,6,excellent,1,80,15970
Commercial Area,House,3884,3,4,36,good,5,65,14631
Near Park,Penthouse,5436,4,1,15,average,8,85,16884
Commercial Area,Apartment,1921,2,2,0,excellent,2,37,10468
Outskirts,Villa,5585,6,2,23,average,3,74,28498
Suburbs,Studio,3728,6,2,33,excellent,3,6,17972
Near Park,House,1148,4,3,4,excellent,3,93,11635
Outskirts,House,2197,4,2,13,average,8,29,11993
City Center,Studio,5885,6,4,7,average,6,10,23475
City Center,Studio,2900,2,4,5,good,3,19,16722
Commercial Area,House,5906,4,1,15,average,4,80,25512
Commercial Area,House,1819,2,4,25,average,1,61,10919
Outskirts,House,566,1,1,38,excellent,3,53,4613
City Center,Studio,3699,4,1,39,good,2,59,15766
Near Park,Apartment,355,6,2,23,poor,9,23,10661
Suburbs,House,1335,5,2,37,good,9,20,11883
Commercial Area,Apartment,2463,5,4,22,excellent,8,92,16070
Outskirts,House,4378,2,4,17,excellent,3,20,18151
Commercial Area,Studio,2702,1,4,26,poor,7,65,14764
Outskirts,Penthouse,3122,5,3,6,poor,5,17,20178
City Center,Apartment,1918,5,2,20,good,9,71,13281
Commercial Area,Penthouse,5379,2,4,13,good,9,81,17671
Outskirts,House,2894,3,4,2,good,6,41,14216
Outskirts,House,1178,4,3,35,poor,2,50,10606
Commercial Area,Studio,2215,4,3,30,average,0,37,15879
Suburbs,Penthouse,4563,6,1,1,excellent,5,86,19161
Near Park,Penthouse,5399,1,1,12,good,9,75,19828
City Center,House,3323,4,3,3,poor,3,62,15134
Commercial Area,Villa,1891,1,1,19,good,7,21,10043
Commercial Area,Villa,4546,6,4,26,average,3,49,22655
Suburbs,Penthouse,4873,4,2,12,excellent,8,59,16888
City Center,Penthouse,2475,4,2,5,average,3,34,11727
Commercial Area,Apartment,3506,3,2,3,poor,3,56,18124
Suburbs,House,3241,5,1,29,excellent,0,94,15726
Near Park,Villa,5390,4,4,8,average,1,41,22124
Outskirts,Studio,4497,5,1,35,excellent,4,71,14987
Near Park,Apartment,2699,2,3,6,poor,7,70,16456
Near Park,Villa,4927,6,4,7,average,4,94,23553
Near Park,House,895,1,1,29,average,1,44,4289
Near Park,House,5350,3,3,25,excellent,7,6,22739
Outskirts,House,1799,3,4,11,good,1,25,12266
City Center,Villa,5513,1,1,17,poor,0,19,13204
City Center,House,2394,6,2,12,poor,5,37,17580
Suburbs,Studio,1008,5,4,37,excellent,1,3,11674
Suburbs,House,2458,4,3,23,average,6,13,11568
Commercial Area,Apartment,1085,3,1,12,excellent,2,39,8015
Near Park,Studio,3633,4,4,18,good,9,86,21380
Near Park,Apartment,498,4,2,15,poor,0,98,10566
Outskirts,Apartment,1326,4,4,16,poor,3,19,12438
Near Park,Penthouse,4575,1,4,3,average,7,30,20591
Outskirts,Penthouse,4752,6,1,14,poor,1,52,17935
Commercial Area,House,4968,6,4,26,excellent,5,26,21995
Suburbs,Studio,682,6,3,10,poor,3,35,11994
Suburbs,Villa,2563,6,4,5,good,8,25,16696
Commercial Area,Penthouse,2565,5,4,7,average,1,65,16198
Commercial Area,Studio,4752,2,1,37,poor,5,74,15809
Near Park,Penthouse,3055,3,1,5,poor,6,9,15262
Suburbs,Studio,4189,2,3,2,poor,1,69,19410
City Center,House,4100,1,2,7,good,9,15,14567
Commercial Area,Apartment,5065,4,2,0,poor,5,92,21329
Suburbs,Penthouse,2748,6,3,28,average,3,20,18155
Suburbs,Apartment,5779,4,3,13,excellent,9,89,19076
Outskirts,Apartment,4812,4,2,23,excellent,6,35,19556
Suburbs,Villa,1174,2,3,21,good,7,8,9598
Commercial Area,Villa,3582,4,2,2,good,7,50,22377
Near Park,House,4625,1,1,9,excellent,9,32,17227
Suburbs,Studio,995,3,4,6,poor,9,17,10814
City Center,House,4348,3,1,26,poor,0,2,13872
Commercial Area,Studio,2873,3,3,5,poor,2,21,11990
Near Park,Villa,3011,4,2,8,poor,8,64,16917
Near Park,House,3911,1,1,23,excellent,3,76,14596
Commercial Area,Studio,5219,1,2,39,good,8,26,16297
Near Park,Villa,1198,4,3,14,good,5,9,10679
City Center,Studio,2449,5,1,8,good,8,49,13133
Suburbs,House,3759,3,1,0,poor,1,25,10964
Commercial Area,Penthouse,5923,2,4,28,excellent,4,63,20985
Suburbs,Penthouse,2513,3,4,18,excellent,4,17,15999
Suburbs,House,5451,4,2,24,excellent,0,51,19428
Near Park,Apartment,5150,1,1,25,average,4,58,13948
Commercial Area,Penthouse,2529,2,1,16,poor,8,1,9643
Suburbs,Penthouse,5792,2,2,26,good,9,97,25093
Outskirts,Penthouse,4596,6,4,25,average,9,3,19799
City Center,Apartment,1115,1,4,2,average,9,28,9067
Near Park,Villa,2167,3,2,11,excellent,7,80,14610
Commercial Area,Villa,2061,4,1,22,poor,9,11,13216
Commercial Area,Apartment,3212,6,3,0,average,4,89,20710
Near Park,Apartment,3750,1,3,15,average,6,23,11123
Suburbs,House,4244,4,4,3,excellent,4,86,17554
Near Park,House,1178,2,2,26,poor,8,9,8158
Commercial Area,House,1252,3,4,32,good,5,27,9330
Outskirts,Villa,3906,4,4,29,average,4,5,19247
Suburbs,Studio,2438,2,2,20,average,1,52,11846
Near Park,Penthouse,586,6,3,16,good,2,31,10781
Commercial Area,House,2903,4,1,7,excellent,8,62,15342
Commercial Area,Penthouse,797,1,4,33,poor,1,77,7743
Commercial Area,Apartment,3555,4,3,4,excellent,2,63,16733
Outskirts,Villa,5807,5,4,22,poor,8,86,30641
Suburbs,House,4110,1,4,16,average,4,41,11741
Near Park,Studio,3917,2,3,12,excellent,7,59,14925
Suburbs,Villa,2463,6,1,14,good,5,19,17146
Commercial Area,Apartment,2028,6,2,38,excellent,3,28,14586
Outskirts,Penthouse,2489,6,4,15,poor,5,78,20480
Outskirts,Villa,1642,2,4,17,average,6,6,8774
Commercial Area,Penthouse,4917,4,1,11,excellent,1,63,17761
Suburbs,House,2937,4,3,21,average,6,76,17328
Suburbs,Apartment,735,2,1,24,excellent,9,97,8654
Outskirts,Studio,5987,2,3,8,average,4,67,24394
City Center,Villa,880,3,2,27,good,1,74,9441
Outskirts,Penthouse,5790,2,2,19,good,4,17,19812
Outskirts,Apartment,2157,4,4,24,good,0,13,13564
Near Park,Apartment,5350,4,2,16,average,8,95,23693
Outskirts,House,745,2,3,28,excellent,3,60,7160
City Center,Villa,1391,6,2,37,good,8,16,14570
Outskirts,House,2141,2,2,30,good,2,63,10871
Suburbs,House,1314,6,3,0,good,0,87,13058
Near Park,House,4758,5,1,16,good,2,95,22137
Near Park,Apartment,4150,6,1,25,good,8,84,24598
Outskirts,Penthouse,2649,3,4,17,poor,7,66,15116
Near Park,Penthouse,1007,3,3,30,poor,0,82,9367
Near Park,Studio,4697,3,4,22,excellent,3,69,16600
Outskirts,Studio,1111,6,3,31,average,9,80,15959
City Center,Penthouse,2068,1,4,36,poor,3,44,6811
Outskirts,House,4081,1,3,31,excellent,7,54,18688
Suburbs,Apartment,5811,6,1,0,good,4,32,29087
Commercial Area,House,5215,6,4,27,average,2,29,18551
City Center,House,533,6,2,31,good,3,37,12003
Outskirts,House,5706,1,4,18,poor,7,47,25160
City Center,Villa,3088,6,2,18,poor,2,62,19137
Commercial Area,Villa,4623,2,2,3,excellent,1,78,14542
Near Park,House,4086,2,1,16,average,5,79,16048
Near Park,Studio,4475,6,3,1,excellent,5,45,19456
Commercial Area,Studio,662,5,3,9,poor,2,10,9025
Near Park,Penthouse,4320,6,4,5,poor,2,63,25406
City Center,Apartment,3539,5,4,5,excellent,0,11,20658
Near Park,Villa,2720,3,3,22,good,7,20,14289
Commercial Area,House,3245,3,1,2,poor,7,53,14553
Commercial Area,Villa,4407,1,2,27,poor,5,95,17552
Commercial Area,Penthouse,1833,1,4,28,excellent,2,72,10781
Suburbs,Studio,5451,2,2,2,poor,9,40,24590
City Center,Studio,2231,2,3,14,average,9,75,13891
Commercial Area,Apartment,1481,2,2,27,average,3,89,8935
City Center,Apartment,590,4,3,31,average,2,81,9792
Suburbs,Penthouse,1881,1,2,5,good,3,1,7735
City Center,Apartment,5694,1,4,4,good,3,37,18693
Outskirts,Penthouse,1900,3,3,7,excellent,6,56,14486
Suburbs,Villa,936,1,3,15,poor,4,15,6834
Suburbs,House,2346,6,2,36,poor,6,85,16989
Near Park,Studio,5417,1,3,13,excellent,6,93,18384
Commercial Area,House,1084,4,1,1,average,2,84,10522
Suburbs,Villa,453,5,2,17,excellent,9,9,9612
City Center,Apartment,5384,1,2,10,good,0,72,16656
Outskirts,Studio,4063,4,2,22,good,8,60,20927
City Center,Apartment,3823,6,1,10,good,5,72,22951
City Center,House,1742,4,1,2,poor,9,79,12338
Outskirts,Apartment,2402,4,4,19,excellent,3,28,14971
Near Park,Penthouse,2172,3,4,9,average,7,8,12791
Commercial Area,House,1090,6,1,16,average,8,48,13498
Suburbs,Apartment,2652,6,2,21,good,2,76,18986
Commercial Area,House,3938,6,1,24,average,5,89,17452
Near Park,Apartment,4567,2,4,7,good,6,84,19281
Outskirts,Apartment,2357,1,1,26,poor,3,89,11104
Commercial Area,House,3870,4,4,15,average,3,46,19192
City Center,Villa,5093,6,3,28,excellent,4,42,22803
Suburbs,House,2422,3,1,31,good,9,83,13574
Suburbs,Studio,5417,1,2,9,average,3,65,17453
Near Park,Studio,1453,4,3,6,poor,4,90,13666
Near Park,Villa,1988,6,1,25,excellent,0,71,13442
Outskirts,Apartment,1390,6,1,30,average,6,93,15411
Near Park,House,2161,1,4,26,good,2,64,12862
Commercial Area,Apartment,5217,4,4,3,good,5,50,25456
Suburbs,Apartment,5981,1,3,20,excellent,6,55,19474
Outskirts,Studio,1788,1,1,9,good,3,88,8114
Near Park,House,1386,6,2,33,good,1,66,14495
City Center,Penthouse,2445,6,3,31,excellent,4,29,15918
Suburbs,Studio,3669,2,2,7,good,7,6,11332
Outskirts,Apartment,407,6,3,11,good,7,6,11666
Suburbs,Apartment,490,1,2,24,poor,7,47,6260
Commercial Area,Penthouse,642,5,4,7,good,9,99,14672
Near Park,Apartment,3707,1,2,22,good,5,61,12849
Near Park,Villa,376,2,3,32,excellent,5,98,7972
Near Park,Penthouse,1612,6,2,27,poor,6,24,12726
City Center,Apartment,5796,2,2,7,good,5,57,16536
Commercial Area,Studio,1841,5,1,24,average,4,4,11328
City Center,Studio,5225,2,1,20,average,7,83,21020
Commercial Area,Villa,5433,6,4,2,poor,2,56,21034
Commercial Area,Penthouse,5892,1,1,9,good,5,56,17029
Commercial Area,Penthouse,4372,2,1,19,average,6,46,19093
Near Park,Apartment,3089,6,3,36,excellent,2,21,19834
Near Park,Apartment,1633,3,3,31,average,1,46,10054
Near Park,House,3214,4,2,9,average,3,33,13939
City Center,Villa,4083,4,1,21,excellent,4,78,21606
Outskirts,Penthouse,4492,6,4,26,good,6,85,27904
Commercial Area,Apartment,5030,5,1,33,average,9,15,21531
City Center,Penthouse,5009,5,2,25,excellent,0,28,21443
Near Park,Villa,2937,1,1,3,average,0,80,12712
Near Park,Studio,1188,3,4,1,average,9,33,13057
Outskirts,Villa,3992,6,4,6,average,4,49,24536
Near Park,Penthouse,4111,1,4,23,average,9,8,17866
Commercial Area,Apartment,1174,6,2,17,excellent,1,68,13324
Suburbs,Penthouse,380,3,4,6,average,0,50,9020
Near Park,House,4389,1,2,4,poor,7,35,18999
Outskirts,Villa,765,6,4,20,average,3,16,12725
Suburbs,House,2913,4,2,36,poor,5,35,15495
Commercial Area,Penthouse,3312,4,1,23,average,7,44,17560
Commercial Area,Penthouse,4240,6,1,30,poor,2,22,20991
Commercial Area,House,4807,2,2,35,poor,8,80,19562
Outskirts,Apartment,5078,6,3,25,poor,6,94,21716
Suburbs,Apartment,4940,3,2,27,average,3,48,14568
Commercial Area,Villa,4942,6,1,38,excellent,8,98,19210
Near Park,House,984,2,1,31,good,5,13,4025
Suburbs,Villa,4993,1,2,15,poor,9,43,20845
Commercial Area,Villa,4849,1,3,37,average,1,79,14714
Suburbs,Studio,2667,3,1,35,excellent,2,28,13195
Near Park,Villa,2579,3,3,3,excellent,3,68,16519
City Center,Villa,2827,4,3,18,excellent,5,15,17821
Commercial Area,Studio,4341,1,1,16,poor,7,99,15281
Near Park,Villa,4605,5,1,33,excellent,8,5,18777
Outskirts,Villa,3119,3,3,28,average,3,27,12895
Commercial Area,Villa,4702,4,3,2,good,8,62,23497
City Center,House,4733,5,4,25,excellent,2,63,21216
Near Park,Studio,3654,1,4,21,excellent,4,85,13292
Near Park,Apartment,3945,4,4,14,average,4,66,19441
Suburbs,Villa,5027,4,4,31,excellent,5,55,24001
Commercial Area,House,5865,1,2,10,excellent,4,31,19122
City Center,House,5733,6,1,16,average,9,44,23580
Outskirts,House,1087,5,1,23,poor,0,48,10932
Suburbs,Studio,804,5,2,0,poor,7,73,12226
Commercial Area,Studio,2164,3,3,23,excellent,4,58,11505
City Center,Penthouse,2193,6,2,20,excellent,6,71,17199
Suburbs,Villa,4708,6,1,30,good,1,50,21619
City Center,Apartment,1340,3,4,5,good,3,94,11278
City Center,Apartment,2640,2,2,18,good,6,22,9174
Suburbs,Penthouse,1490,5,3,19,average,6,19,14280
Suburbs,Apartment,4274,6,1,7,good,0,79,20814
Commercial Area,Villa,5629,2,1,23,poor,2,76,20700
Suburbs,Apartment,2471,6,3,29,poor,6,13,15712
Commercial Area,Villa,3207,6,3,37,average,0,97,23591
City Center,Studio,692,6,1,14,excellent,0,27,10268
Suburbs,Studio,1828,2,1,19,excellent,2,91,11632
Commercial Area,Villa,3132,5,2,0,good,0,19,17131
Commercial Area,Villa,4890,6,4,34,poor,5,47,21000
Outskirts,Studio,622,3,2,1,good,6,12,7636
Commercial Area,Villa,3145,2,2,11,poor,7,52,17079
Commercial Area,Penthouse,2699,4,3,24,poor,2,75,18275
Outskirts,Studio,4949,4,3,11,poor,8,69,20421
Near Park,Apartment,3697,5,2,28,poor,2,55,18762
Suburbs,Studio,785,1,2,26,excellent,8,13,5780
Outskirts,Apartment,5581,4,2,19,average,5,16,17631
Commercial Area,Apartment,4731,5,1,17,good,2,39,17368
Commercial Area,Penthouse,1895,1,3,2,good,4,7,6531
Suburbs,Studio,1998,5,1,18,excellent,3,82,14090
City Center,Studio,4387,1,4,35,poor,7,28,13887
Outskirts,Penthouse,2034,3,4,26,good,3,77,14421
Near Park,Studio,4227,3,4,23,poor,7,88,19368
Suburbs,Apartment,2639,6,4,9,excellent,9,84,22770
Suburbs,Villa,4249,4,2,31,good,3,98,22777
Outskirts,Penthouse,4516,5,3,39,average,0,47,24357
Commercial Area,Penthouse,5756,1,4,35,poor,4,21,23800
Commercial Area,Villa,5489,4,3,8,poor,2,21,19323
Near Park,Apartment,3727,6,2,15,excellent,4,43,20817
Outskirts,Villa,4156,4,4,9,average,9,40,19308
Suburbs,Studio,5276,5,3,12,average,3,92,28315
Outskirts,Villa,4670,5,2,36,poor,8,82,25165
City Center,Penthouse,2974,6,4,34,excellent,6,92,19589
Suburbs,House,5750,3,4,13,poor,4,33,24110
Near Park,Studio,971,4,1,4,excellent,8,94,11215
Near Park,Villa,1509,6,4,16,good,7,3,16765
Suburbs,Villa,4390,2,2,9,good,7,21,12920
Commercial Area,Apartment,3853,6,2,32,excellent,6,42,19025
Suburbs,Studio,1371,4,1,14,average,4,47,10337
Suburbs,Apartment,2279,5,2,22,average,4,89,15386
City Center,Penthouse,2193,5,1,2,poor,3,40,15554
Suburbs,Penthouse,3347,2,4,12,excellent,8,59,17148
Outskirts,Apartment,2970,6,4,12,poor,4,78,23918
Outskirts,Studio,1322,4,4,27,good,0,13,12043
Near Park,Apartment,3350,3,4,12,average,7,97,16923
Commercial Area,Apartment,844,4,4,25,average,7,62,12079
Near Park,Studio,3155,3,2,7,poor,0,96,15435
City Center,Penthouse,4892,5,1,2,average,2,74,24266
Suburbs,House,1224,4,3,1,good,1,69,12111
Near Park,Apartment,2977,6,4,14,poor,8,95,22650
Suburbs,Apartment,3071,2,4,14,excellent,2,73,14909
Near Park,Villa,5968,6,1,14,average,5,90,23659
Suburbs,Studio,360,3,1,29,excellent,4,11,6117
Near Park,Villa,3274,3,2,9,good,8,67,14930
Outskirts,Penthouse,2653,4,4,22,average,7,10,15790
City Center,Villa,5006,5,3,28,poor,4,48,19101
Near Park,Studio,4486,5,3,6,excellent,2,47,20595
Outskirts,Apartment,3572,6,3,0,excellent,8,37,23486
Commercial Area,Apartment,4772,4,4,5,average,0,21,23070
Near Park,House,3376,6,3,18,average,5,84,18075
Suburbs,Penthouse,4669,2,3,19,excellent,0,6,13061
City Center,Apartment,5791,3,3,37,good,8,27,20032
Outskirts,Villa,5753,1,3,3,average,4,11,19732
Outskirts,House,4113,2,4,15,excellent,4,42,13971
City Center,House,2267,1,2,36,good,8,18,10484
Near Park,Penthouse,1984,6,4,2,average,7,62,18579
Suburbs,House,4986,5,2,3,poor,2,58,23080
Commercial Area,Studio,1584,2,4,7,excellent,5,81,11386
Near Park,Villa,1812,1,2,11,average,2,7,9152
City Center,House,1947,2,2,15,good,6,9,8418
Near Park,Apartment,5937,5,2,27,good,3,71,19808
Near Park,Villa,5531,6,2,28,poor,8,77,28918
City Center,Penthouse,1216,5,2,16,excellent,3,38,11909
City Center,House,1580,3,3,29,poor,1,69,10747
Commercial Area,Villa,2513,1,1,9,good,6,12,11263
City Center,Apartment,5225,3,4,14,average,0,16,16537
City Center,House,5557,5,4,32,good,3,61,23048
City Center,Penthouse,4718,2,1,33,average,0,2,9933
Outskirts,Penthouse,4967,4,4,24,excellent,5,44,22950
City Center,Penthouse,4239,2,1,10,poor,8,81,15855
City Center,House,5344,1,4,1,average,5,71,16753
City Center,House,1908,6,4,19,excellent,8,2,16417
Commercial Area,House,3398,2,3,2,poor,8,99,19381
Near Park,Apartment,3572,6,4,3,excellent,0,22,19235
City Center,Penthouse,4545,2,3,13,good,7,38,17536
City Center,Villa,4310,6,2,2,average,3,30,16517
Commercial Area,Villa,3665,5,4,31,excellent,5,51,21169
Near Park,House,2939,1,1,21,average,4,39,10088
Commercial Area,Penthouse,5067,4,3,16,poor,1,11,14996
Suburbs,Penthouse,5476,5,3,15,poor,1,62,23763
Suburbs,House,4265,5,1,37,excellent,3,73,19291
Suburbs,Apartment,2882,2,1,31,excellent,0,95,12492
City Center,Villa,3213,6,4,36,average,9,74,20351
Commercial Area,Villa,4643,2,1,24,good,3,13,9954
City Center,Studio,5306,5,4,27,average,7,87,30535
Suburbs,House,3093,3,1,12,poor,0,33,14495
Near Park,Villa,1381,1,3,28,average,2,17,6920
Near Park,Villa,561,4,1,32,poor,9,23,8685
Commercial Area,Apartment,5372,5,4,4,good,2,8,24215
Near Park,House,3434,4,2,5,good,7,90,19998
Suburbs,House,5336,3,3,32,poor,4,45,24206
Commercial Area,Villa,5531,3,3,15,average,4,36,22993
Commercial Area,Villa,1649,2,2,22,good,3,73,9769
Suburbs,Penthouse,1147,4,3,34,excellent,4,80,13259
Suburbs,Studio,5382,5,1,13,good,7,14,25718
Suburbs,Villa,4984,3,3,21,poor,9,37,19722
Suburbs,House,1659,4,3,38,poor,1,80,13867
Commercial Area,Penthouse,5967,5,3,11,average,1,75,30550
Near Park,Apartment,1354,5,3,22,average,2,12,11231
Suburbs,House,5039,5,2,37,excellent,4,38,25931
Outskirts,Penthouse,4332,4,3,39,good,5,69,20909
Commercial Area,House,3514,5,2,27,poor,4,25,15952
City Center,House,5273,4,1,27,excellent,6,91,26892
Near Park,House,3135,5,1,15,average,1,72,16211
Commercial Area,Villa,3311,4,1,17,average,2,14,16654
Suburbs,Villa,519,3,2,37,average,7,3,6069
Outskirts,Studio,1237,6,3,21,average,8,36,14616
City Center,Apartment,3294,4,2,8,excellent,4,97,19279
Near Park,Apartment,464,3,2,30,poor,0,93,9226
Suburbs,Villa,2350,5,1,4,good,9,61,14614
Commercial Area,House,1026,6,4,10,poor,6,20,12518
Commercial Area,House,1454,3,2,3,average,2,22,9757
Near Park,Penthouse,2712,5,3,28,good,0,9,14639
Outskirts,Penthouse,2123,3,4,24,excellent,9,56,11690
Suburbs,Penthouse,4047,2,3,36,poor,4,89,15908
Near Park,Apartment,4217,1,1,20,average,9,37,15556
Near Park,Apartment,4525,5,4,39,average,2,99,21354
Commercial Area,Penthouse,380,4,4,27,excellent,4,9,9039
Near Park,Penthouse,4558,1,1,31,good,3,50,16206
City Center,Penthouse,1807,3,1,6,average,0,59,11111
City Center,Apartment,3908,6,1,27,average,4,95,23156
Suburbs,Villa,4307,5,1,37,good,4,67,23585
Near Park,House,1381,1,4,11,average,2,25,8104
Commercial Area,Villa,4304,4,2,19,good,8,48,17523
Suburbs,Apartment,5373,3,2,4,good,1,36,22634
Outskirts,Apartment,2876,1,3,7,good,2,91,12905
Commercial Area,Penthouse,996,1,1,36,poor,4,66,7972
Outskirts,Villa,857,6,3,3,excellent,0,48,12830
Suburbs,Apartment,5030,3,4,5,excellent,7,61,17886
City Center,Studio,1330,5,1,22,average,1,71,11255
Commercial Area,Villa,3348,1,3,35,average,7,13,12775
Commercial Area,Villa,1170,4,4,4,good,8,50,11937
Suburbs,Apartment,1857,3,4,21,poor,2,54,12702
Commercial Area,House,4777,2,3,8,poor,9,51,22531
Commercial Area,Apartment,5632,3,3,19,good,0,29,19180
Suburbs,Villa,5866,2,1,7,excellent,9,58,21922
Near Park,Studio,1624,5,2,28,excellent,5,48,14258
Suburbs,Villa,1236,3,2,6,good,7,14,9843
Commercial Area,Apartment,3940,1,4,9,excellent,6,19,16687
Suburbs,Penthouse,4874,1,2,32,poor,6,64,16237
Commercial Area,House,4403,1,4,4,good,7,64,16584
Outskirts,Villa,5280,3,2,7,poor,6,97,27460
Outskirts,Studio,2737,1,4,39,good,0,27,13226
City Center,Studio,1970,2,2,2,average,7,3,8937
Suburbs,Studio,4883,4,2,30,excellent,6,7,16881
Suburbs,House,2568,1,1,14,average,4,54,7890
Outskirts,Villa,1026,5,1,11,average,5,36,11484
Outskirts,Penthouse,1334,4,4,21,poor,0,57,11321
Outskirts,Apartment,5445,6,3,4,average,9,24,21475
City Center,Villa,4755,2,3,13,poor,1,82,17684
City Center,Villa,5172,1,2,20,poor,9,5,19223
Near Park,Penthouse,300,4,1,21,good,6,83,8055
Suburbs,House,5737,1,4,38,excellent,8,49,22578
City Center,Apartment,1127,5,3,35,good,9,78,14030
Commercial Area,Apartment,5717,3,2,8,excellent,6,87,25574
Suburbs,Apartment,610,1,3,37,excellent,1,87,6686
Near Park,Villa,4810,2,1,4,average,6,93,20958
Outskirts,Penthouse,5114,1,2,16,average,6,70,20716
Near Park,Penthouse,2578,2,4,17,good,5,62,13419
