location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
City Center,Villa,good,3591,4,1,39,7,50.26,1.24,1.37,38,37.7
Commercial Area,House,average,3082,4,4,9,3,28.89,1.23,1.2,4,37.85
Commercial Area,Apartment,poor,5846,2,1,6,6,64.67,1.08,1.11,4,37.28
City Center,Apartment,poor,3879,6,1,24,4,81.95,0.52,0.88,62,45.89
City Center,House,excellent,4652,2,1,36,0,48.12,0.6,0.76,79,37.92
City Center,Penthouse,average,3274,2,4,18,1,65.52,1.1,1.22,75,58.87
City Center,Villa,excellent,4215,3,1,0,4,95.97,1.13,1.27,55,58.26
Near Park,Villa,excellent,1273,4,1,12,3,39.73,1.33,1.3,7,36.42
Outskirts,Penthouse,average,3216,3,4,29,5,51.67,1.28,0.86,33,47.03
Outskirts,House,average,1255,2,3,25,3,83.39,0.97,1.42,81,58.92
City Center,Studio,poor,1481,4,4,21,8,88.47,1.17,0.91,63,55.65
Outskirts,Studio,poor,1912,4,3,28,4,69.43,1.56,0.79,56,66.35
Outskirts,House,average,5851,5,3,28,3,73.05,0.59,0.95,57,50.1
City Center,Studio,poor,977,2,1,3,2,90.48,0.58,0.85,7,52.09
Outskirts,House,good,1787,2,1,28,1,15.45,0.8,0.69,8,37.32
Commercial Area,Villa,excellent,2148,1,1,29,4,47.78,1.65,1.15,37,49.45
Suburbs,Villa,poor,4551,2,1,24,9,87.31,0.68,0.72,78,42.09
Suburbs,Penthouse,poor,4727,4,1,12,1,68.39,0.99,1.28,65,52.12
City Center,House,poor,3323,2,3,36,2,79.44,1.36,1.11,54,65.32
Near Park,Studio,average,823,1,1,27,6,51.41,1.27,0.56,35,54.54
City Center,House,average,3646,1,1,19,0,93.47,1.67,1.11,68,70.91
Near Park,Apartment,poor,4593,4,1,5,2,2.42,1.09,1.33,96,12.95
Suburbs,Penthouse,good,347,1,3,14,1,84.38,1.59,0.55,70,80.74
City Center,Apartment,excellent,2887,2,1,29,1,79.86,0.98,1.36,4,58.02
Commercial Area,Penthouse,excellent,4471,3,1,15,8,41.05,1.01,0.81,47,33.94
Outskirts,Penthouse,poor,1414,3,2,11,3,75.64,0.72,1.01,47,48.78
Near Park,Penthouse,poor,409,4,4,37,3,8.21,1.54,0.74,97,42.82
Outskirts,Apartment,average,4572,6,1,36,6,68.42,1.91,1.21,85,63.32
Outskirts,Penthouse,excellent,2035,1,1,12,4,33.07,1.29,1.4,12,38.58
City Center,House,good,822,4,2,2,2,1.09,1.06,1.29,12,19.52
Outskirts,House,poor,2177,4,4,38,4,78.33,1.53,0.62,75,76.18
Commercial Area,Apartment,average,301,6,3,11,4,18.45,0.69,1.4,42,13.4
Outskirts,Villa,good,792,2,1,7,9,75.05,1.49,0.73,21,47.58
City Center,Villa,average,4003,2,2,37,5,44.96,1.53,0.7,12,60.98
Commercial Area,Apartment,excellent,1732,1,4,1,3,88.26,1.7,1.34,92,62.45
Suburbs,Penthouse,average,1625,5,4,10,3,47.85,1.48,0.63,36,62.14
Outskirts,Penthouse,average,1317,6,4,14,6,27.92,0.56,0.67,66,40.66
City Center,Penthouse,good,5642,2,1,0,8,74.64,0.62,0.68,17,39.77
Suburbs,Apartment,poor,2524,6,4,6,3,53.0,0.95,0.81,91,37.4
Suburbs,Penthouse,good,4919,4,4,11,6,3.47,1.17,1.0,11,19.78
Near Park,House,excellent,4328,3,2,2,5,43.05,0.85,0.95,24,31.76
Commercial Area,Penthouse,poor,5865,1,2,25,3,96.65,1.82,0.65,17,86.11
Outskirts,Apartment,good,3926,4,3,6,0,8.21,0.58,1.35,68,21.3
City Center,Penthouse,average,1221,1,3,9,5,75.86,1.94,1.18,90,60.67
Near Park,House,good,308,6,3,37,7,12.61,1.5,0.92,32,33.92
Commercial Area,Apartment,good,4676,4,4,18,2,83.86,1.71,1.4,16,64.49
Near Park,Villa,average,5373,5,2,12,0,29.94,0.56,0.88,34,33.0
Commercial Area,Apartment,excellent,5654,2,2,38,8,25.68,1.58,1.4,15,28.72
Commercial Area,Studio,excellent,3484,5,4,4,1,54.98,1.26,0.98,32,53.84
Outskirts,Villa,good,2087,1,1,7,3,56.78,1.63,1.11,33,52.54
Commercial Area,Villa,poor,407,1,3,4,3,30.73,1.57,1.15,42,34.09
Near Park,Apartment,average,4641,3,3,20,9,20.13,1.77,1.24,50,30.01
Commercial Area,Studio,excellent,5096,1,1,6,2,15.51,0.92,1.18,51,16.6
Outskirts,Villa,poor,5318,4,4,26,1,19.15,1.52,1.24,25,41.96
Outskirts,Penthouse,poor,385,4,4,18,9,72.86,1.86,0.6,91,64.69
Near Park,Studio,poor,4198,4,4,29,5,61.52,1.2,0.8,29,50.37
Suburbs,Studio,good,5175,3,1,16,0,95.63,1.74,0.97,53,82.45
Suburbs,Apartment,poor,3513,2,2,12,7,82.76,1.26,0.94,62,58.96
Commercial Area,Apartment,excellent,3185,5,4,12,1,5.24,1.78,1.49,3,36.33
City Center,Apartment,excellent,3755,5,3,8,1,67.7,1.32,0.64,19,61.08
Commercial Area,Studio,good,3414,4,1,19,3,47.72,0.83,1.04,3,47.07
Near Park,House,poor,5144,5,3,22,6,46.39,1.25,0.84,52,44.02
Near Park,Apartment,poor,5113,3,1,0,6,94.18,1.85,1.09,79,72.49
Near Park,House,average,3457,4,3,15,6,15.36,0.74,1.19,77,7.17
Near Park,Villa,poor,1963,1,2,36,6,47.59,0.78,0.98,31,33.73
Near Park,Penthouse,average,4120,4,1,27,0,91.65,1.86,0.9,45,79.85
Outskirts,Penthouse,excellent,4139,1,2,9,0,24.14,0.61,0.98,24,30.88
Suburbs,House,good,4846,1,1,16,0,4.29,1.94,0.67,45,43.05
Near Park,Studio,average,563,6,4,30,0,95.2,1.35,1.45,89,66.92
City Center,Penthouse,excellent,1937,2,1,27,2,51.88,0.53,0.97,88,45.19
City Center,House,average,3535,6,3,10,3,49.28,1.74,1.02,60,62.38
City Center,Apartment,poor,4685,5,3,2,0,46.17,1.75,1.05,63,55.1
City Center,House,poor,1132,6,1,23,6,16.48,1.82,1.48,99,37.19
Outskirts,Villa,good,4472,2,4,30,0,72.42,1.23,1.47,77,59.09
City Center,House,excellent,5061,4,1,22,5,65.57,0.54,1.38,10,32.7
Near Park,Apartment,excellent,3929,3,2,26,7,66.02,1.28,0.89,62,51.99
Commercial Area,House,excellent,1877,6,2,20,1,13.9,0.65,1.4,20,13.61
City Center,Apartment,average,4557,2,1,31,1,77.11,1.2,0.73,65,62.32
Outskirts,Apartment,average,2954,1,2,16,4,26.13,1.18,1.47,40,30.6
Outskirts,Villa,poor,1105,4,4,13,1,63.81,1.3,1.27,38,53.92
City Center,Villa,average,4033,6,4,17,1,92.92,0.92,1.23,47,60.91
Commercial Area,Penthouse,average,4807,6,3,26,4,55.65,1.68,1.15,70,56.81
City Center,Apartment,good,885,2,2,33,0,7.12,0.59,0.7,56,30.02
Outskirts,Apartment,excellent,5759,1,3,16,9,43.55,1.52,1.09,83,35.07
Suburbs,Apartment,poor,4093,4,2,8,4,49.29,1.58,1.0,49,51.69
Near Park,Penthouse,excellent,4880,3,4,17,9,31.71,0.52,1.34,80,9.83
Outskirts,Studio,good,2152,2,1,34,1,37.41,1.15,1.29,34,43.49
City Center,Villa,good,2448,2,4,6,1,15.3,1.65,0.99,51,37.35
Near Park,Villa,excellent,4486,5,3,29,2,40.29,1.54,1.03,14,58.96
City Center,Apartment,poor,3745,4,4,19,5,65.67,1.75,0.62,56,68.2
City Center,Penthouse,average,4183,2,2,35,2,32.43,1.89,0.69,98,63.15
Suburbs,Apartment,poor,1687,6,4,7,2,83.09,1.37,1.42,83,48.98
Near Park,Villa,poor,764,4,4,15,0,34.73,0.84,1.01,35,32.71
Near Park,Penthouse,average,1005,1,1,12,4,46.97,1.95,0.72,3,63.51
Suburbs,House,excellent,341,2,1,22,3,42.74,0.67,1.21,93,33.38
Outskirts,Villa,excellent,856,1,4,9,5,4.46,0.68,1.38,3,8.31
City Center,House,good,5050,4,2,30,0,68.89,0.85,0.89,35,49.91
Commercial Area,Studio,good,4861,1,3,24,9,79.45,1.1,1.32,38,37.51
City Center,House,excellent,5132,2,2,29,1,85.56,0.83,1.33,90,54.35
City Center,Penthouse,poor,2019,5,2,32,6,35.32,1.05,1.12,82,36.86
Outskirts,House,good,5349,3,1,39,7,53.22,0.54,0.83,29,41.91
City Center,Studio,average,1307,2,3,28,1,4.4,1.82,1.32,87,34.67
Suburbs,Villa,excellent,383,1,3,34,5,40.98,1.48,1.03,78,41.88
Suburbs,Studio,poor,3729,5,4,20,5,46.18,1.92,0.5,77,69.13
Near Park,Penthouse,average,4211,4,1,35,8,73.76,1.15,1.21,88,42.91
Commercial Area,House,good,1144,3,2,5,1,66.05,0.88,1.46,88,44.99
City Center,House,good,3456,2,3,12,3,60.12,0.84,0.94,75,37.45
City Center,Penthouse,good,4782,1,2,1,7,59.4,1.16,1.35,78,29.73
Outskirts,Apartment,excellent,2657,2,1,7,9,40.77,1.31,1.05,37,27.21
Suburbs,Penthouse,average,5072,5,4,0,6,19.38,1.33,1.05,75,25.16
Commercial Area,Penthouse,excellent,863,3,4,23,0,22.28,1.69,1.13,72,54.52
Near Park,Studio,average,5724,2,3,1,6,65.53,1.77,1.28,87,44.46
Suburbs,Studio,good,2518,3,2,9,1,3.12,1.31,0.57,93,42.55
Near Park,Penthouse,average,5490,1,4,38,8,59.32,1.85,0.59,85,62.18
Outskirts,Villa,excellent,5808,4,3,34,4,11.99,0.67,1.39,29,20.97
Outskirts,House,poor,353,2,3,30,7,26.14,1.99,1.08,97,47.68
City Center,Penthouse,excellent,5230,3,2,38,6,84.31,0.52,1.01,28,42.11
Commercial Area,Apartment,average,5721,1,4,5,3,11.83,0.78,0.54,79,35.95
Near Park,House,good,4528,2,3,11,1,38.7,0.56,1.38,65,28.03
Suburbs,Villa,average,2174,1,3,20,9,40.38,0.74,0.55,8,26.2
Outskirts,Penthouse,good,5653,1,2,20,4,69.16,1.37,1.37,37,56.27
City Center,Villa,excellent,3245,2,2,20,9,28.04,0.85,0.76,69,16.5
City Center,House,excellent,3057,4,1,28,9,45.48,1.11,0.71,12,39.44
Near Park,Apartment,excellent,554,2,3,21,0,0.84,1.62,0.57,51,49.65
Outskirts,House,excellent,402,1,4,21,9,98.96,0.58,0.59,19,50.46
Commercial Area,House,average,5881,4,1,9,7,62.76,1.51,0.83,70,57.9
Outskirts,Penthouse,poor,575,3,4,39,3,42.0,0.9,0.81,86,39.69
Near Park,House,good,4908,3,1,35,0,50.21,1.92,1.25,40,69.26
Near Park,Penthouse,good,4941,5,1,35,7,43.68,1.81,0.7,33,57.83
Outskirts,Penthouse,good,4754,6,4,37,0,39.21,1.54,0.7,75,56.98
Near Park,Villa,average,1247,1,3,9,0,68.38,1.2,0.86,50,63.31
Outskirts,Apartment,excellent,2464,4,4,17,8,23.97,1.94,1.04,17,42.43
Suburbs,Penthouse,excellent,2655,2,2,0,0,25.23,1.87,1.18,89,44.87
Outskirts,Studio,good,1334,2,1,17,1,3.2,0.71,1.15,25,14.85
Outskirts,Villa,excellent,3303,6,3,30,4,53.91,0.79,0.7,75,42.38
Near Park,Penthouse,excellent,896,2,3,27,8,18.09,1.49,0.69,78,35.44
Near Park,Penthouse,average,4036,4,2,28,7,75.25,1.51,0.77,17,56.98
City Center,Villa,excellent,5199,3,4,36,8,13.18,0.64,0.7,19,8.55
City Center,House,average,945,1,2,10,7,11.17,0.83,0.96,33,14.16
Suburbs,Penthouse,average,2693,6,2,10,7,35.52,1.04,1.43,80,21.12
City Center,Apartment,good,5703,2,2,39,1,32.99,1.75,0.65,8,52.44
Outskirts,Penthouse,good,3691,6,3,15,1,20.86,1.61,1.29,1,50.52
Near Park,Villa,good,515,2,1,3,1,62.01,1.42,0.73,43,62.9
City Center,Studio,poor,4764,2,4,9,2,55.94,1.38,0.92,11,60.92
City Center,Villa,average,1737,6,3,33,3,29.04,0.99,1.43,82,30.08
Suburbs,Villa,excellent,1937,3,3,1,2,92.65,1.46,1.29,32,60.76
Suburbs,Apartment,excellent,719,4,3,3,9,36.89,1.7,0.8,64,39.68
Outskirts,House,excellent,1471,3,3,17,8,89.05,1.82,0.51,49,74.15
Near Park,Apartment,average,4239,3,3,18,6,83.19,1.67,1.14,22,72.32
Suburbs,Apartment,good,843,6,3,12,1,82.22,1.47,1.14,51,75.1
City Center,Penthouse,excellent,5397,6,1,21,6,48.6,1.12,0.84,72,48.43
Near Park,Studio,poor,1289,6,3,25,5,31.43,1.06,0.94,31,39.66
Near Park,Villa,poor,1621,5,2,39,9,82.96,0.81,0.97,31,51.62
City Center,Apartment,average,390,6,2,2,7,97.69,1.08,0.7,32,56.75
Suburbs,Apartment,poor,2307,2,2,39,7,44.97,0.81,0.61,55,37.69
City Center,House,average,5663,2,3,16,2,61.07,1.35,0.91,31,56.52
Near Park,House,good,5504,4,1,18,0,76.62,0.91,1.28,53,49.83
Commercial Area,Studio,excellent,5996,4,4,5,0,74.4,0.82,0.62,41,54.76
Commercial Area,Villa,excellent,3451,2,2,32,8,71.45,1.12,1.12,24,49.35
Outskirts,Apartment,excellent,4537,2,1,2,4,78.85,0.8,0.88,86,41.84
City Center,Penthouse,excellent,3445,3,3,14,4,8.16,0.65,0.78,88,16.06
City Center,House,good,4999,4,2,38,5,82.53,1.79,0.71,44,77.6
Outskirts,Apartment,excellent,2255,6,2,16,8,93.13,0.92,1.13,65,56.41
Outskirts,Penthouse,poor,5751,5,2,27,6,42.36,1.95,1.07,26,54.68
Outskirts,Apartment,average,1057,6,4,32,0,67.54,1.52,0.8,87,71.94
Near Park,Studio,average,4798,2,2,34,0,31.15,1.39,1.08,45,45.38
City Center,Studio,poor,659,1,1,3,0,92.14,1.3,0.63,50,69.07
Near Park,Penthouse,poor,1405,2,1,23,4,37.55,0.59,0.87,96,27.8
Outskirts,House,good,2022,3,2,23,7,96.23,1.58,1.1,74,66.11
City Center,Studio,good,3335,2,2,29,7,6.82,0.56,0.7,65,3.29
Near Park,House,average,4999,4,4,9,2,79.53,0.58,1.02,59,39.87
Near Park,Penthouse,average,5051,5,2,7,7,12.1,0.89,0.89,99,19.4
Outskirts,Penthouse,average,2117,5,3,30,6,93.57,1.57,0.78,74,74.05
City Center,Apartment,average,4990,5,2,27,3,70.72,0.89,1.42,48,42.66
Outskirts,Penthouse,excellent,2604,1,2,18,2,58.27,0.82,0.83,86,43.57
City Center,Apartment,excellent,2760,2,2,39,2,74.69,0.71,0.64,9,53.92
Commercial Area,House,average,971,6,4,1,4,44.86,1.25,0.86,98,43.53
Suburbs,Apartment,average,2941,1,4,37,5,0.0,1.7,1.46,19,28.82
Suburbs,House,excellent,1586,2,4,35,8,30.28,0.59,0.55,38,34.71
Suburbs,Studio,good,4712,5,1,16,9,52.61,1.33,1.01,54,43.65
Outskirts,House,average,735,2,1,23,3,20.74,1.66,0.66,77,42.19
Commercial Area,Villa,poor,1139,1,3,9,0,66.25,1.53,1.06,44,58.25
City Center,Apartment,poor,2332,4,4,34,0,4.74,0.6,0.88,96,15.62
Near Park,Studio,average,4024,4,1,3,0,63.14,1.26,0.52,3,58.48
City Center,House,good,1235,6,1,30,6,94.89,1.09,0.52,94,65.73
Near Park,Penthouse,excellent,5996,4,2,27,7,20.85,0.89,1.44,37,27.05
City Center,Apartment,average,3740,1,2,22,8,66.81,0.62,1.19,99,40.13
Commercial Area,House,good,4715,4,4,20,8,72.51,1.86,0.69,24,69.43
Near Park,Studio,good,1922,6,2,12,7,53.56,1.37,1.21,53,34.84
Outskirts,Penthouse,average,5554,1,1,22,6,66.89,1.5,0.75,89,58.71
City Center,Apartment,good,2498,4,4,27,6,61.66,1.79,0.71,39,56.45
City Center,Studio,poor,4484,5,3,3,4,46.67,1.78,0.88,75,47.52
Near Park,Penthouse,good,2130,3,1,19,6,83.58,0.55,0.51,62,50.61
Outskirts,Villa,average,2610,2,3,19,8,17.98,1.57,1.48,91,27.18
Outskirts,Penthouse,poor,5516,1,2,32,7,40.44,0.83,1.04,52,30.31
Commercial Area,Apartment,poor,4471,6,2,30,4,58.59,0.69,0.93,32,39.78
Outskirts,Villa,average,1853,4,1,6,5,85.63,1.21,1.12,23,51.4
Outskirts,House,good,1420,2,3,17,0,75.25,0.79,0.61,12,68.95
Outskirts,Villa,average,4260,6,2,34,5,48.53,1.79,0.99,95,51.5
Suburbs,Villa,average,410,3,2,20,7,98.51,1.93,0.84,8,68.33
Commercial Area,Villa,poor,3094,5,3,16,3,86.84,0.53,1.04,34,55.19
City Center,Penthouse,good,303,3,1,39,1,33.97,0.91,1.18,71,40.82
Near Park,Villa,average,4121,5,3,26,6,53.93,1.08,1.3,72,54.33
City Center,Villa,excellent,3845,5,2,11,3,81.76,0.99,1.42,58,44.1
Commercial Area,House,average,3687,2,2,25,4,64.11,1.39,0.82,65,52.65
Near Park,Villa,excellent,3906,5,4,0,4,7.71,0.68,1.09,68,10.4
Commercial Area,Penthouse,poor,2183,5,3,7,0,88.9,0.67,0.95,61,50.62
Outskirts,Studio,good,4495,6,2,19,8,9.53,1.96,0.74,14,34.97
Near Park,Studio,good,691,4,1,10,6,37.73,0.95,0.87,26,32.17
Outskirts,Penthouse,average,3923,6,4,33,0,46.69,1.59,1.2,15,60.33
City Center,Penthouse,average,3949,3,3,20,6,12.99,1.84,0.98,55,40.11
City Center,Villa,good,4471,2,1,36,4,1.01,0.63,1.23,80,16.97
Near Park,Penthouse,poor,3105,1,2,2,6,43.51,1.3,0.54,50,42.63
Near Park,Villa,average,664,6,1,23,7,56.57,0.78,1.33,35,27.88
Commercial Area,Apartment,poor,2798,6,1,9,3,61.16,1.49,1.08,38,57.9
Commercial Area,House,poor,5017,1,4,28,5,46.89,1.68,1.22,22,48.89
Outskirts,House,poor,2184,4,1,35,3,20.4,0.73,0.82,93,35.47
Near Park,House,average,313,5,2,3,2,51.57,0.6,0.73,98,43.13
City Center,Apartment,poor,5100,5,3,21,5,14.49,1.72,0.92,24,37.53
Commercial Area,House,good,3070,3,3,25,6,82.47,0.97,0.91,8,49.94
Commercial Area,Villa,good,1201,4,3,12,5,90.73,1.26,0.87,82,52.61
City Center,Studio,excellent,2725,1,3,35,8,36.31,1.38,1.02,25,37.72
Commercial Area,House,poor,2079,2,4,9,7,82.61,1.92,0.88,91,71.04
Outskirts,House,poor,4728,6,1,17,1,0.81,0.76,0.87,12,18.67
Near Park,Villa,excellent,4286,5,1,25,0,74.59,0.63,1.29,47,49.61
City Center,Villa,poor,2596,3,3,21,0,80.65,0.84,0.95,4,54.66
Near Park,House,good,495,1,2,25,6,35.49,1.81,0.85,13,54.01
Commercial Area,Penthouse,good,1245,4,4,9,0,25.73,1.93,0.64,75,70.67
Commercial Area,Apartment,excellent,4483,5,4,23,6,48.8,1.79,1.22,24,46.12
City Center,Studio,good,1172,6,3,16,4,91.37,0.58,0.89,5,54.56
Outskirts,Studio,good,5707,1,3,26,0,65.27,1.55,0.86,78,65.86
Suburbs,Apartment,good,5599,2,3,0,9,36.9,1.92,0.87,94,35.03
City Center,House,average,4161,5,2,39,1,66.78,0.64,1.06,36,41.49
Suburbs,House,poor,2699,4,1,6,7,11.24,0.89,1.05,85,14.26
Suburbs,House,excellent,2044,4,4,2,6,74.66,1.42,1.26,52,48.09
Outskirts,House,poor,3025,6,1,19,7,88.18,1.24,0.64,41,58.54
Suburbs,House,excellent,1568,2,4,36,9,71.39,1.49,1.13,41,53.58
Suburbs,Studio,excellent,4216,2,2,31,2,0.37,1.76,0.77,26,41.61
Outskirts,House,poor,1026,1,2,20,8,74.16,1.82,1.44,27,54.01
Suburbs,Villa,poor,3456,1,2,21,4,2.95,0.66,1.4,42,8.47
Suburbs,Penthouse,good,2097,2,3,23,6,77.0,0.65,0.97,38,43.17
Suburbs,House,good,3895,4,2,25,0,66.71,1.57,0.94,7,62.9
City Center,Villa,average,3164,3,3,35,2,43.24,0.53,0.81,30,42.07
City Center,Studio,poor,1909,2,2,14,6,37.56,1.25,1.1,40,50.31
City Center,Villa,excellent,5097,6,2,26,7,2.51,0.99,0.71,25,18.13
Outskirts,Apartment,poor,823,1,4,24,6,76.72,1.26,1.46,65,41.54
Commercial Area,Apartment,poor,1936,2,3,39,9,81.02,1.53,0.63,61,64.4
Suburbs,Villa,good,608,6,1,20,1,66.62,0.64,0.99,92,49.27
Suburbs,House,good,988,6,4,15,0,43.62,1.83,1.19,84,54.72
Outskirts,House,average,2599,2,1,9,2,13.92,0.79,0.72,34,32.86
Suburbs,House,good,3675,5,1,29,7,40.95,1.69,0.71,23,54.31
City Center,Villa,excellent,1064,4,1,36,0,17.7,0.63,1.06,59,35.79
Commercial Area,Apartment,excellent,2181,6,3,17,3,72.08,0.95,0.9,51,54.01
Near Park,Apartment,excellent,5303,4,4,35,0,60.39,1.13,0.92,19,61.34
Suburbs,Studio,excellent,5038,6,1,29,1,79.29,0.65,0.71,23,65.54
