location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
model town,plot,new,3769,2,3,10,3.05,0.43,29481332
aziz bhatti town,plot,used,1237,3,5,1,1.78,0.52,19328291
model town,plot,new,3180,3,4,9,2.25,0.64,37375430
aziz bhatti town,plot,used,5652,3,1,15,4.1,1.02,161507595
aziz bhatti town,house,new,3166,4,4,16,2.61,0.8,78562081
satellite town,plot,old,1141,2,2,11,4.58,1.11,19249083
aziz bhatti town,house,old,5517,2,1,27,2.82,0.93,115481829
model town,house,old,2672,1,3,17,4.83,0.84,31461979
aziz bhatti town,house,old,2914,2,2,34,1.18,0.9,56713399
satellite town,house,new,4129,2,1,32,2.78,0.92,63369269
satellite town,house,new,3575,5,4,23,3.25,0.98,68913600
model town,flat,new,5331,2,1,23,1.0,0.81,66740708
wapda town,house,new,2907,2,5,27,3.67,1.15,56074564
wapda town,house,new,5856,1,5,10,1.35,0.7,70673274
aziz bhatti town,house,used,3458,2,1,10,1.18,0.51,46059418
university road,flat,old,2759,3,5,29,1.86,0.45,24036914
aziz bhatti town,flat,old,2017,1,4,16,4.71,0.55,27662979
model town,house,used,5015,4,2,29,4.5,0.97,76654970
model town,plot,old,776,3,4,32,2.73,0.79,8419856
model town,house,old,969,2,5,11,4.95,0.47,7363440
model town,plot,old,4708,2,2,9,1.36,1.08,69260423
model town,plot,used,5516,2,2,8,2.74,1.19,102743636
satellite town,house,new,4611,6,3,15,1.83,0.48,46455863
wapda town,plot,new,2189,6,2,5,4.18,1.18,52291085
model town,flat,new,4136,3,4,33,3.24,1.05,75134036
university road,house,new,5989,1,3,22,3.38,0.41,57983109
university road,flat,old,1975,5,3,0,1.14,0.94,41489421
university road,flat,used,1810,6,3,22,2.55,1.03,44316864
university road,house,new,3105,3,4,17,2.72,0.62,46054133
satellite town,house,used,1586,4,2,16,4.6,1.18,30543620
university road,house,old,2624,5,5,22,4.44,0.8,47528319
model town,flat,new,2688,4,2,16,1.02,0.42,18330826
aziz bhatti town,house,old,2840,2,5,33,4.04,1.13,81028768
university road,flat,old,1033,5,1,1,4.58,0.72,17520555
satellite town,plot,new,3625,1,3,11,3.46,0.49,33714058
satellite town,house,used,3073,1,2,17,3.83,1.09,51144232
university road,flat,new,1686,5,1,33,4.31,0.85,36933674
aziz bhatti town,house,old,738,5,1,18,1.08,0.57,9981488
university road,flat,used,4739,2,4,3,4.18,1.06,125537570
satellite town,flat,used,1834,4,2,31,4.16,1.11,32889144
wapda town,plot,new,3251,3,4,21,1.84,1.2,60906509
model town,house,new,4568,1,3,9,2.36,0.41,33510198
satellite town,flat,new,829,3,2,6,4.13,0.58,9000190
university road,house,used,4335,6,4,26,1.12,0.73,74752155
model town,flat,used,2486,2,5,11,2.16,0.47,19657673
university road,plot,new,902,3,2,13,4.49,0.47,10841044
university road,flat,old,3684,6,5,22,3.0,1.19,100329778
wapda town,flat,used,893,2,4,27,2.99,1.15,14718274
model town,house,old,5019,2,2,1,2.84,0.75,55281173
model town,plot,new,5104,6,3,34,2.93,0.95,93053200
wapda town,flat,new,5399,4,2,23,3.55,0.43,37406281
satellite town,house,old,2305,5,4,1,1.2,1.15,45065161
university road,flat,new,4869,3,5,0,1.54,0.83,109204057
aziz bhatti town,house,old,3165,3,3,12,2.21,0.96,75446770
university road,plot,old,5755,5,3,17,4.56,1.2,148161032
university road,plot,used,3378,3,1,16,4.54,1.14,80984154
satellite town,house,old,1696,1,1,22,1.37,0.61,13400360
university road,plot,new,5670,1,2,3,2.39,1.11,159298662
wapda town,house,new,3728,5,3,21,3.21,0.75,48223233
wapda town,house,new,4628,2,2,12,3.18,0.67,51269702
model town,plot,new,4912,1,5,22,1.05,0.81,67113442
aziz bhatti town,plot,new,3466,1,2,26,4.27,0.45,45200909
university road,house,used,1998,5,3,32,3.42,0.71,32930743
university road,house,used,5633,2,4,6,3.14,0.56,73975426
satellite town,plot,used,2846,6,5,9,1.86,0.99,55919656
wapda town,plot,old,3966,4,5,0,3.84,0.67,42681204
aziz bhatti town,house,used,2267,4,4,14,3.07,0.42,28978896
model town,house,old,5727,5,5,26,2.15,0.45,39481198
wapda town,house,old,3999,5,2,34,1.81,0.46,23931333
model town,plot,used,1104,6,5,1,4.12,0.79,18385009
satellite town,flat,new,2734,4,2,1,2.4,0.56,30039952
satellite town,house,used,4979,5,1,22,2.0,0.54,43228678
university road,flat,old,5433,5,2,20,3.08,1.19,130090242
aziz bhatti town,plot,old,1806,5,5,23,2.04,1.03,49263492
model town,flat,old,1115,3,4,16,3.63,0.77,12046153
wapda town,flat,used,2015,2,5,18,4.32,0.89,27266906
satellite town,house,used,2584,1,3,26,2.04,1.09,42444665
university road,flat,old,4775,5,1,33,1.15,0.41,37585913
university road,plot,used,5524,3,5,4,4.8,1.02,146874733
model town,house,used,625,3,5,34,4.49,0.68,6950626
satellite town,flat,old,2499,5,1,27,1.04,0.47,16597891
aziz bhatti town,flat,used,3542,5,4,28,1.47,0.78,77960766
satellite town,flat,used,5131,6,2,26,1.03,0.58,48839698
model town,flat,new,2180,3,1,15,3.21,0.79,30531506
model town,house,new,1745,3,1,33,3.74,0.62,17867292
satellite town,house,used,2811,6,5,4,1.62,0.6,34608390
model town,house,used,3453,4,3,24,2.01,0.73,38570460
satellite town,plot,used,5901,4,3,30,2.43,0.65,61268882
wapda town,plot,old,3308,4,2,13,1.22,0.8,35204437
satellite town,house,used,1310,5,3,9,4.68,0.41,10300051
satellite town,house,used,772,2,2,14,3.27,1.17,14794732
model town,plot,new,5645,4,2,29,3.76,1.19,116540001
model town,flat,used,3052,2,2,7,2.19,0.44,20742460
university road,house,new,3564,2,1,24,4.65,0.43,36187247
university road,house,used,1673,5,5,30,2.18,0.67,26731504
wapda town,flat,old,4723,6,4,28,2.1,0.44,30172724
university road,plot,used,1351,2,3,17,4.52,1.05,30712692
satellite town,plot,used,2220,3,2,33,4.37,1.01,34667562
model town,house,new,1697,6,1,25,1.0,0.99,29861525
university road,flat,new,4254,5,3,10,2.05,0.41,47698172
university road,plot,new,4846,2,1,32,2.4,0.97,105273882
wapda town,flat,used,3214,1,1,3,2.78,0.67,32748430
wapda town,flat,old,1236,3,1,12,2.38,1.11,17883087
satellite town,house,new,4541,2,3,7,3.58,1.17,101127663
model town,flat,used,3952,5,3,22,1.32,0.84,52319760
wapda town,flat,used,2150,2,1,0,4.96,0.62,21329919
university road,flat,used,1202,3,1,18,1.66,0.81,19120708
model town,flat,new,4512,6,2,15,2.94,0.67,61237781
model town,flat,used,4380,2,1,22,3.76,0.86,55568586
university road,house,used,5847,4,4,31,1.16,0.92,116133341
wapda town,plot,new,1456,5,1,0,2.36,0.53,14312973
university road,plot,used,5030,3,4,31,3.63,0.42,46108989
model town,flat,used,5158,5,2,19,3.58,0.71,59177569
aziz bhatti town,house,old,4413,6,2,5,3.46,0.48,62927749
aziz bhatti town,house,used,751,3,5,0,4.12,0.86,20520613
satellite town,flat,old,2428,3,1,16,3.24,0.54,17769221
university road,flat,new,2213,6,1,14,3.21,0.53,33477097
university road,plot,new,3144,6,3,21,1.71,0.97,79552822
satellite town,plot,old,4662,5,4,1,4.92,0.46,39832589
satellite town,plot,old,2422,2,3,19,3.46,0.56,19031868
satellite town,flat,old,3777,6,2,29,3.57,0.69,40935453
model town,plot,used,5484,3,1,17,3.53,1.11,89317159
university road,house,used,1796,3,3,26,2.1,0.51,18728486
model town,house,old,4268,2,2,20,3.43,0.51,28676703
satellite town,flat,old,1400,4,3,14,2.02,0.98,21227092
university road,flat,old,824,6,3,25,1.36,1.1,18836306
model town,plot,new,4628,3,4,1,4.66,1.02,95425786
model town,house,used,2741,5,1,19,3.52,0.9,39806737
satellite town,plot,used,5351,3,5,14,4.4,1.05,102994061
university road,house,new,5858,6,5,26,3.81,0.69,117336512
satellite town,plot,used,912,3,4,31,2.15,0.43,6098156
university road,flat,old,844,3,1,19,4.48,1.04,16590327
aziz bhatti town,house,used,3708,3,1,17,4.22,1.16,111168990
wapda town,house,old,3377,6,2,28,4.14,0.62,30102260
wapda town,house,new,5116,3,1,10,4.11,0.96,82997662
wapda town,plot,new,4963,2,2,15,4.99,0.67,57340187
satellite town,plot,used,3973,6,1,7,3.0,0.47,34949040
aziz bhatti town,plot,old,1155,5,2,11,3.26,0.63,19787939
university road,house,old,3227,3,3,8,4.49,0.41,28003432
model town,flat,used,2379,1,4,1,2.91,0.51,21020969
university road,plot,new,1134,3,3,20,3.67,0.81,21838514
model town,house,old,1130,3,2,25,4.08,0.82,12394516
university road,plot,used,4820,3,3,3,2.32,1.06,118725247
aziz bhatti town,house,old,2347,4,1,9,1.69,1.06,62180156
model town,house,old,5214,6,2,28,4.12,0.75,60210257
satellite town,plot,old,2679,4,5,12,1.39,1.14,49235849
university road,house,used,2590,1,5,30,1.69,1.11,61586292
university road,plot,new,2943,1,2,30,3.67,0.51,34645611
model town,house,new,2141,6,3,32,1.86,1.08,43242517
satellite town,flat,new,2551,6,1,2,1.54,1.18,63342779
satellite town,flat,used,3552,6,4,4,4.2,1.19,89704125
aziz bhatti town,flat,used,4995,1,1,19,4.16,0.57,73484030
satellite town,flat,new,4488,2,2,22,3.35,0.5,37944935
satellite town,plot,used,3313,2,4,18,3.73,0.66,35307231
satellite town,house,new,5426,6,1,27,2.97,0.87,90973186
wapda town,house,new,2857,4,4,16,2.48,1.1,52325180
aziz bhatti town,flat,used,1658,6,3,5,5.0,0.55,32127849
university road,flat,old,1583,5,3,17,3.96,0.77,25790244
model town,house,old,2027,4,4,29,2.49,0.98,28482626
university road,house,used,4492,4,3,4,3.54,0.48,54162367
aziz bhatti town,house,used,3907,5,3,24,4.21,0.67,76636131
model town,flat,new,4621,5,1,5,4.97,1.0,97626506
aziz bhatti town,house,old,4007,5,4,28,4.72,0.66,72558062
satellite town,flat,old,5866,2,1,32,4.2,0.56,45531910
model town,flat,new,4264,5,2,29,3.39,0.69,53010207
satellite town,flat,new,2239,6,3,1,3.74,0.41,20976382
university road,house,old,681,3,4,25,4.31,0.54,7338791
university road,flat,new,1634,2,2,34,3.91,0.61,23136920
model town,plot,old,4943,2,5,25,4.52,1.06,77174436
model town,house,used,1729,2,1,15,2.79,0.84,22760296
aziz bhatti town,house,used,5581,4,3,22,3.96,0.7,108543055
aziz bhatti town,house,old,2546,3,3,9,1.49,1.13,70190398
satellite town,house,old,4054,4,5,18,3.72,0.73,46425403
model town,flat,new,2436,4,1,2,4.64,0.86,41930728
university road,plot,used,3604,4,2,12,3.49,0.69,58246415
aziz bhatti town,flat,old,982,4,2,25,3.77,0.56,13291431
aziz bhatti town,plot,new,1868,3,5,28,2.73,0.9,51216921
university road,house,old,5315,4,3,0,1.82,1.03,118761362
aziz bhatti town,flat,used,956,1,2,28,4.85,0.95,23815092
satellite town,flat,old,3016,5,5,20,3.4,0.43,21153726
model town,flat,old,1872,4,3,19,4.89,0.57,15726584
university road,plot,old,2738,3,4,25,3.94,0.49,26545265
model town,plot,old,5532,6,4,24,4.91,0.63,57923056
aziz bhatti town,house,old,5035,1,5,15,3.04,1.14,153868385
aziz bhatti town,flat,used,3228,4,1,2,1.55,1.19,110562370
university road,house,new,5834,6,3,29,3.98,0.55,88368146
satellite town,plot,used,4109,6,4,7,3.94,0.7,58340699
wapda town,house,new,2300,5,3,1,3.54,0.88,39770157
university road,flat,new,1748,3,1,18,2.13,1.11,43170618
wapda town,flat,used,2190,4,2,1,3.06,0.85,29924230
wapda town,plot,old,4807,2,3,31,3.89,0.95,58464114
satellite town,plot,new,4762,5,1,27,1.86,0.86,73494771
wapda town,house,old,4944,4,2,34,2.91,0.7,44134869
wapda town,flat,used,1075,5,2,17,2.39,0.77,12135094
satellite town,house,new,5192,6,3,18,1.32,0.77,76235728
wapda town,plot,new,2778,4,3,7,1.54,0.72,34376453
wapda town,plot,used,5795,5,3,9,1.47,1.17,108810413
wapda town,house,used,3284,2,3,5,4.23,0.84,44710165
university road,flat,old,1884,4,4,9,2.34,0.57,23346576
university road,plot,used,4903,4,2,16,4.96,0.54,59026871
university road,house,old,5314,4,3,9,2.32,0.82,92007674
satellite town,flat,new,4618,5,3,22,2.97,1.07,93817561
aziz bhatti town,house,old,5482,6,5,3,4.43,0.77,139808356
wapda town,plot,new,2592,6,3,5,1.53,0.59,29930783
wapda town,flat,new,2418,6,5,10,3.46,0.6,30268990
satellite town,plot,new,1520,4,4,7,2.97,0.47,14483226
wapda town,plot,used,3204,3,1,11,1.87,0.4,18332647
university road,plot,old,1165,1,5,12,1.19,0.94,22667315
aziz bhatti town,plot,old,1725,4,4,31,1.82,0.61,25729467
model town,plot,old,2289,6,5,0,1.52,1.17,47745511
wapda town,house,old,3448,6,2,12,3.21,0.72,37959763
university road,plot,new,4083,1,2,14,4.79,1.13,118798264
model town,plot,new,1256,2,5,15,1.69,1.01,23630585
aziz bhatti town,plot,old,4714,2,2,16,4.75,0.47,52168600
model town,flat,used,1456,1,1,5,2.43,0.62,14585878
university road,plot,used,2943,2,1,20,1.58,1.17,67489358
model town,flat,used,2251,5,4,30,4.11,0.66,25764107
satellite town,house,old,4630,1,3,12,3.66,1.05,74497651
model town,plot,new,3717,6,1,19,4.82,0.64,46321206
wapda town,house,used,1774,5,5,23,2.44,0.98,27814707
wapda town,house,used,1386,6,1,11,2.91,0.51,11923862
satellite town,plot,used,5520,1,2,24,3.54,0.44,36833990
university road,house,old,2983,4,2,22,4.63,0.85,50493599
wapda town,plot,new,5744,4,1,10,4.06,0.58,59046181
aziz bhatti town,house,new,4644,6,5,10,4.73,0.59,109340087
wapda town,flat,old,3891,2,4,18,1.8,1.05,51205302
wapda town,flat,new,5750,6,1,31,2.91,0.92,91948588
university road,flat,new,3358,5,3,32,1.17,0.59,48778629
model town,plot,used,1349,1,1,16,4.23,0.74,14888399
wapda town,house,new,4640,1,3,30,2.78,0.44,31684744
satellite town,flat,old,2723,1,2,3,1.07,0.44,17412744
model town,plot,new,2619,1,1,20,1.36,0.61,24914582
aziz bhatti town,flat,used,1529,3,5,12,3.48,1.06,48779541
university road,flat,used,983,2,1,6,2.84,0.77,16626285
aziz bhatti town,plot,old,4529,5,5,11,3.07,0.84,112261067
model town,flat,new,1495,5,2,8,2.82,0.48,13864634
model town,plot,new,670,5,1,28,4.13,1.01,12405247
model town,flat,used,4949,5,1,8,1.58,0.62,51362379
aziz bhatti town,plot,new,1182,3,4,28,3.73,1.13,40518549
model town,flat,used,3068,4,5,13,4.83,1.13,65215726
aziz bhatti town,house,old,835,3,1,19,4.49,1.01,19739718
model town,house,new,1445,3,2,9,1.19,0.76,18537396
satellite town,plot,used,1682,6,3,15,3.59,0.68,22358842
model town,plot,old,2935,1,4,1,1.86,0.49,21863290
aziz bhatti town,house,new,5809,5,4,6,1.25,1.03,204425192
wapda town,plot,used,5663,2,3,0,4.11,0.43,39357875
model town,flat,used,2085,6,5,5,3.23,0.74,31852814
wapda town,flat,new,3541,3,4,33,3.18,0.52,29690369
satellite town,flat,old,3606,4,1,1,1.51,0.66,36717132
university road,flat,new,4840,5,2,30,4.69,0.78,98147636
satellite town,flat,used,1936,2,4,19,1.36,0.56,16535218
model town,flat,used,2710,5,3,34,4.47,1.09,50191992
wapda town,flat,old,3837,3,2,0,4.6,0.8,43844201
wapda town,plot,old,1213,3,1,6,1.66,1.01,15691342
aziz bhatti town,house,old,3088,2,3,33,1.3,1.0,68986364
wapda town,flat,old,1724,3,1,10,1.59,0.7,15429963
aziz bhatti town,flat,old,3881,3,3,34,2.97,1.06,95712662
university road,plot,used,3982,1,3,34,3.01,0.58,48268776
model town,plot,used,2815,6,5,15,3.99,0.83,47214950
aziz bhatti town,house,old,3895,5,2,18,1.56,0.94,87916348
university road,house,used,5670,6,1,10,3.26,0.49,70886865
wapda town,plot,new,5297,1,1,29,4.66,0.41,34195696
wapda town,flat,old,5850,6,2,34,3.45,1.13,93520802
university road,flat,new,3017,4,2,33,1.03,0.89,61052768
wapda town,flat,old,4376,4,1,25,3.62,0.88,49941445
university road,flat,used,5537,3,2,11,4.65,0.58,73594620
aziz bhatti town,flat,old,3284,4,1,16,4.7,1.15,93264296
aziz bhatti town,plot,used,2534,6,3,23,3.15,0.86,65063719
university road,house,used,1917,1,5,32,1.68,0.89,36539844
aziz bhatti town,house,used,4456,2,3,19,4.0,0.62,73171799
aziz bhatti town,plot,used,1372,6,4,17,1.25,0.79,31801820
aziz bhatti town,flat,old,4948,3,2,14,1.75,1.16,136826796
satellite town,plot,new,5640,1,4,33,4.59,0.71,73876743
model town,house,old,2869,4,2,23,2.28,1.06,40928610
wapda town,house,used,3719,3,2,17,3.83,0.49,25131951
satellite town,house,old,659,6,5,27,4.87,1.0,11627314
aziz bhatti town,house,new,4816,4,4,14,1.47,1.01,159502538
university road,plot,old,3425,2,3,4,4.67,0.7,52992472
aziz bhatti town,flat,used,3152,2,2,29,3.12,0.87,69070882
model town,flat,used,5974,1,5,24,3.31,0.51,48475691
aziz bhatti town,plot,used,4274,5,1,4,1.53,0.69,88879088
university road,flat,old,5486,5,5,26,2.83,1.11,132762514
model town,flat,old,1512,3,4,15,1.97,0.41,9086178
aziz bhatti town,flat,new,3901,1,1,31,2.07,1.11,119108522
model town,flat,new,5566,6,4,27,1.05,0.6,62999600
wapda town,house,new,5080,1,4,3,4.43,1.01,96294212
wapda town,flat,used,1219,3,1,29,1.09,0.69,10857872
aziz bhatti town,plot,old,3836,3,3,1,1.92,0.43,42296955
model town,house,old,3548,2,1,15,1.61,0.99,48142160
university road,house,used,5146,3,1,21,2.44,1.15,118449845
aziz bhatti town,plot,used,4698,4,1,27,2.63,0.54,66313761
wapda town,flat,new,2651,1,4,23,1.59,0.76,31262386
wapda town,house,used,1217,6,1,33,4.09,0.84,16311731
aziz bhatti town,plot,used,4731,6,3,9,4.09,0.75,117716984
model town,plot,used,4287,3,4,24,3.49,0.68,45297484
wapda town,flat,new,5216,3,4,8,1.81,0.71,62799250
model town,flat,used,4931,6,1,3,3.67,0.78,73606250
wapda town,plot,new,976,3,5,28,4.48,0.9,15013510
wapda town,flat,old,5287,2,3,7,3.05,0.65,46885272
satellite town,plot,used,3831,4,1,1,2.52,0.73,49134518
wapda town,flat,used,961,2,2,20,4.87,0.66,8959645
university road,flat,new,3529,3,4,8,1.9,0.65,58475172
aziz bhatti town,plot,old,4944,6,5,27,4.97,0.57,83594521
aziz bhatti town,plot,old,3873,1,4,21,1.83,1.06,95627389
model town,flat,used,968,4,4,21,4.61,0.94,15237143
wapda town,plot,old,764,1,1,19,1.99,0.89,8077178
university road,house,new,3229,2,3,19,3.7,0.4,30729697
model town,flat,new,3177,3,3,21,4.51,0.98,53914640
satellite town,house,new,3528,2,3,3,1.61,0.79,52619770
model town,house,new,1644,4,3,18,4.29,1.02,30335643
model town,house,new,1379,6,5,9,3.98,0.62,19346214
wapda town,plot,old,5093,2,4,24,4.0,0.97,65255648
satellite town,flat,old,3449,1,5,26,4.67,0.84,44247039
model town,flat,used,2254,4,3,24,2.65,1.03,36078773
university road,house,used,5755,6,2,29,2.49,1.03,136606372
university road,plot,old,3101,2,5,15,3.88,0.43,29447830
aziz bhatti town,flat,old,4875,3,5,10,1.66,0.54,68252429
satellite town,flat,used,5042,3,5,19,1.27,1.09,85999712
satellite town,flat,used,4813,5,4,17,4.43,0.55,47788837
aziz bhatti town,house,new,5719,2,2,31,1.53,1.09,169216381
model town,house,old,978,3,3,8,4.44,0.87,12848692
satellite town,house,old,2274,6,2,15,3.21,0.43,16553366
university road,house,old,4943,2,1,10,1.85,1.02,97316091
university road,house,old,4164,6,5,25,1.28,0.62,56663820
wapda town,flat,new,5952,2,3,9,4.6,0.45,47150382
satellite town,house,old,5995,3,2,31,2.78,0.96,77149106
model town,plot,new,1838,4,1,33,4.49,1.06,34376938
aziz bhatti town,house,old,668,4,5,13,1.92,0.95,17386307
aziz bhatti town,house,used,2504,5,1,10,3.06,1.13,85091872
model town,house,old,4150,2,5,25,3.88,0.91,54806537
wapda town,flat,used,4938,2,4,28,3.5,1.08,77361611
aziz bhatti town,flat,used,4558,2,4,16,2.04,0.79,93673298
